id,first_name,last_name,race,county,num_children,income,age_group,ssn,smoker,complications
185,Marja,Quinn,race2,county2,4,275522,group2,178-47-5856,True,7
186,Sibella,Watson,race2,county3,1,121085,group2,855-16-1378,False,6
187,Theadora,Quinn,race1,?,1,281095,group3,260-37-3239,False,6
188,Kristopher,Hawkins,race2,county2,4,164385,group1,440-23-4520,False,2
189,Ethelbert,Scott,race3,county3,0,296181,group1,491-07-2750,False,2
190,Lefty,Hawkins,race3,county2,5,84751,group2,379-31-8303,True,6
192,Parker,Hoffman,race1,county2,5,153276,group3,685-18-8668,False,6
193,Claiborne,Scott,?,county1,0,165243,group1,122-97-7326,True,7
194,Karina,Waters,race1,county2,2,239895,group1,461-58-0297,False,8
195,Durand,Lawson,?,county2,4,291303,group1,592-36-1774,True,9
196,Modesta,Frank,race1,county3,2,101309,group3,877-50-4332,False,4
197,Cacilia,Ward,race3,county1,5,109002,group1,193-08-6387,True,7
198,Lindsey,Pollard,race3,county4,2,78399,group2,134-28-1983,True,7
199,Elana,Pollard,?,county4,3,176763,group2,310-30-2009,True,4
200,Tabby,Casey,race3,county1,4,20367,group1,458-35-9525,True,1
201,Cesar,Cannon,race3,?,2,299945,group2,771-52-1419,True,4
202,Reinhold,Ward,race3,county1,4,43464,group2,810-10-0456,True,8
203,Julietta,Lawson,race3,county4,4,47606,group3,824-70-4832,False,8
204,Jeremias,Quinn,race3,?,4,56008,group1,729-89-1503,False,2
205,Susie,Hawkins,race1,county3,3,74411,group2,605-61-5879,False,3
206,Benedetta,Frank,race3,?,2,83180,group1,131-34-5619,True,8
207,Kimbell,Hawkins,race3,county3,5,66907,group3,670-70-2641,False,1
208,Gray,Cannon,race1,county1,5,108738,group1,767-65-2902,False,2
209,Quent,Ward,race1,county2,2,205631,group2,732-95-3068,?,3
210,Dillon,Watson,race2,county1,4,96359,group3,715-27-8581,False,1
211,Annabella,Cervantes,race2,county4,3,105206,group3,335-40-6249,False,6
212,Aloin,Scott,race3,county1,3,23875,group3,425-44-1164,False,6
213,Eleni,Le,race2,county4,0,96961,group2,325-14-0356,True,1
214,Eadie,Watson,race2,county2,4,252384,group1,465-65-2723,True,3
215,Claybourne,Hoffman,?,county4,1,176761,group2,276-10-4503,True,0
216,Alisha,Hawkins,?,county2,1,100318,group1,768-21-4609,False,4
217,Berri,Quinn,race1,?,1,123345,group2,875-33-9591,True,2
218,Hewie,Wilkerson,race2,county1,3,214406,group1,163-57-4408,True,8
219,Bellina,Cannon,race3,county4,4,73656,group2,471-17-3462,True,3
220,Chariot,Quinn,?,county1,4,289197,group1,677-93-2052,False,3
221,Lesley,Hawkins,race3,county1,5,71602,group1,326-37-2151,False,2
222,Hatti,Lawson,race2,county3,1,74259,group3,362-02-7471,True,9
223,Douglas,Brooks,race2,?,4,198643,group2,181-72-7880,False,8
224,Godfrey,Owen,race2,county4,2,244505,group3,406-09-2794,False,9
225,Corney,Brooks,race3,county1,3,293387,group3,819-10-8669,False,8
226,Harrietta,Hawkins,?,county4,0,111558,group1,742-87-8244,True,5
227,Aggie,Brooks,race3,county1,1,125859,group3,224-59-2080,True,5
228,Ignacius,Hale,?,?,3,205287,group2,592-26-9211,True,8
229,Ashlin,Ward,?,?,4,181340,group3,856-03-8468,False,10
230,Abie,Casey,race1,?,3,162622,group3,762-97-0954,False,0
232,Blondy,Lawson,race1,county4,5,242887,group1,441-68-4851,True,7
233,Eilis,Brooks,race2,county4,4,278875,group1,565-03-3728,False,7
234,Preston,Hale,race1,county1,2,31609,group2,400-91-2993,False,7
236,Hugh,Le,race2,county1,4,47401,group2,813-76-3770,True,5
237,Reggie,Quinn,race3,county1,5,31780,group2,405-68-5771,True,8
238,Lee,Lawson,race2,county2,0,287873,group3,576-42-4740,True,3
239,Cobb,Casey,race2,county2,0,163248,group3,797-10-2121,True,3
240,Roslyn,Lawson,race3,county4,0,164290,group3,356-80-9158,False,5
241,Carolynn,Brooks,race1,county1,2,104912,group3,839-11-3877,True,2
242,Charmaine,Elliott,race2,county4,3,31426,group2,631-47-2016,True,6
243,Gene,Hoffman,?,county4,1,137747,group2,442-52-4940,False,9
244,Alfreda,Watson,race3,county1,1,47153,group2,287-62-5032,False,1
246,Jessica,Ward,race2,county1,0,243306,group2,649-95-6007,False,1
247,Charleen,Scott,race3,county3,1,129468,group2,348-87-5747,True,0
248,Hannis,Elliott,?,?,2,29579,group1,860-16-8555,False,6
249,Christy,Watson,?,county1,3,209710,group2,226-28-2542,False,2
251,Reine,Casey,race1,?,1,194937,group2,156-08-9792,True,1
252,Ashlen,Owen,race1,county4,3,208069,group3,636-73-2206,?,1
253,Raye,Lawson,race1,county3,2,135742,group3,623-43-7910,False,0
254,Clemente,Frank,race2,county3,3,291755,group1,721-24-7681,False,5
255,Wallas,Kirk,race2,county1,1,43580,group2,255-52-6119,False,10
256,Smith,Hale,race2,county2,4,181096,group2,469-49-3263,False,4
257,Dore,Lawson,race1,county3,1,288575,group2,237-74-3181,False,10
258,Roch,Kirk,race3,county1,2,29124,group3,395-26-0611,False,9
259,Harwilll,Wilkerson,race3,county1,1,74892,group2,885-52-9404,False,2
260,Johnnie,Kirk,race1,county1,5,214513,group2,637-98-7915,True,10
261,Vic,Owen,race2,county4,4,150801,group3,450-54-2615,False,8
262,Kristian,Hale,race3,county1,2,159060,group2,557-49-2211,True,8
263,Esmeralda,Lawson,race2,county3,3,157167,group1,708-89-7959,True,10
264,Grayce,Le,race3,county1,3,201759,group2,801-96-7328,True,3
265,Barret,Scott,?,?,5,116079,group3,499-11-3624,False,7
266,Bartholomeo,Hawkins,race2,county2,1,237993,group2,434-83-5106,True,0
267,Madelina,Cervantes,race3,county1,2,259025,group1,461-40-1376,False,10
268,Chic,Wilkerson,race3,county1,5,117694,group1,653-44-4274,False,8
269,Dru,Quinn,race3,county1,2,139699,group2,758-82-2648,?,7
270,Erin,Hoffman,race1,county4,5,137581,group2,482-24-2876,False,9
271,Halimeda,Pollard,race1,county1,5,277497,group2,754-99-8481,?,8
272,Analise,Le,race2,county3,1,18181,group2,370-74-0109,True,8
273,Sherry,Owen,race1,county3,5,89931,group2,853-39-8342,True,2
274,Griselda,Casey,?,?,1,46096,group1,502-53-9089,False,5
275,Justin,Ward,race2,?,5,18370,group1,202-37-2159,False,7
277,Louisette,Waters,race2,county4,1,43871,group3,350-86-4205,True,1
278,Broddie,Hoffman,race3,county1,3,299800,group2,461-65-7826,True,0
279,Sarine,Watson,race2,county1,3,245159,group3,120-76-2407,False,8
280,Cam,Waters,race3,county3,0,23746,group2,267-14-3539,True,10
281,Ophelia,Lawson,race1,county2,4,60959,group2,266-68-4843,False,5
282,Emyle,Quinn,race3,county1,1,200004,group1,175-56-4073,True,0
283,Agnes,Elliott,race1,county1,3,165675,group1,166-86-0068,True,2
284,Tiebold,Kirk,race1,county4,4,87925,group2,300-17-2433,True,1
285,Vincent,Lawson,race1,?,2,182243,group2,499-19-2935,True,0
286,Ab,Brooks,race3,?,5,34301,group3,472-58-2794,False,7
287,Lissa,Waters,?,county3,1,166198,group1,792-23-4103,False,9
288,Raoul,Casey,?,county3,0,249457,group3,605-75-5720,False,5
289,Jeffie,Cannon,race1,?,5,160734,group1,115-40-4402,False,1
290,Ulric,Casey,race2,county2,5,154073,group3,463-35-7973,False,7
291,Ulick,Lawson,race2,county1,5,63220,group3,287-02-3026,False,5
292,Sabina,Waters,race2,?,2,40265,group3,218-97-9861,False,5
293,Alvina,Scott,race3,?,2,118500,group1,117-25-5665,True,10
295,Abbey,Brooks,race3,?,3,15007,group3,180-30-2023,True,6
296,Gregorio,Lawson,?,county1,0,233424,group1,369-19-3708,?,3
297,Barby,Scott,race1,county4,0,48186,group2,268-01-0112,False,6
298,Urbain,Le,race1,county4,1,191554,group1,396-90-0823,False,6
299,Quinton,Le,race3,county1,2,136382,group3,410-58-0690,False,10
300,Britteny,Quinn,race1,county4,0,267885,group1,461-06-9655,True,8
301,Meir,Le,race1,?,2,177315,group1,102-83-2889,False,9
303,Athene,Cannon,race3,county1,3,130397,group1,126-81-4952,?,8
304,Vivi,Casey,race3,county1,2,101274,group3,715-63-2361,True,8
305,Mia,Hawkins,race2,?,0,89786,group2,818-82-2922,False,5
306,Ki,Waters,race2,county2,1,150849,group3,289-74-0302,False,0
307,Adamo,Hawkins,race3,county4,0,258919,group2,526-24-2726,?,8
308,Bartram,Casey,race2,county2,1,295297,group2,849-39-4459,?,8
309,Loutitia,Hoffman,race1,county3,1,257512,group1,386-20-1528,False,1
310,Kylynn,Watson,race1,county3,0,237459,group2,568-71-4593,True,1
311,Kaile,Owen,race2,?,2,266157,group2,243-22-9109,False,4
313,Rafaellle,Owen,race2,county2,2,161265,group2,218-71-2747,True,6
314,Modesta,Casey,race1,county4,0,108708,group2,258-36-3330,False,5
315,Dahlia,Cervantes,race1,?,0,85165,group3,365-75-3613,?,4
316,Barrett,Kirk,?,county3,2,65256,group3,274-49-6807,True,3
319,Othella,Casey,?,county4,4,74507,group3,259-28-7458,False,9
321,Elnore,Elliott,race2,?,1,43830,group2,247-27-4089,False,3
322,Zondra,Scott,?,county3,3,238276,group3,185-74-8912,True,10
324,Dorisa,Owen,race3,county1,4,132986,group2,847-29-3734,False,3
325,Willi,Frank,race1,county2,1,177405,group2,474-92-5499,True,9
326,Ulrick,Owen,race2,?,1,177960,group1,658-94-6618,?,5
327,Humberto,Lawson,race3,county1,1,14207,group2,164-93-1768,True,6
328,Ajay,Waters,race1,?,2,105800,group1,500-24-1650,False,1
329,Tommy,Frank,race3,?,5,191449,group2,799-84-8347,True,8
330,Corena,Hawkins,race1,county2,0,14725,group2,894-45-9099,True,6
331,Roarke,Cervantes,race1,county1,3,124748,group2,871-19-5187,True,9
332,Wolfy,Owen,race3,?,1,55659,group3,734-43-7772,False,3
333,Sheela,Hawkins,race1,county3,5,129843,group1,774-88-0353,True,5
334,Esme,Cervantes,race1,county4,3,270443,group2,138-71-8878,?,8
335,Salvador,Brooks,race2,county4,4,249535,group1,241-19-8014,False,0
336,Xena,Le,race1,county4,5,96500,group1,636-24-2660,False,7
337,Hilly,Hoffman,race3,county1,1,299007,group3,493-14-1851,False,0
338,Artus,Hawkins,race1,county1,2,236738,group3,591-33-9148,False,5
340,Stephenie,Hawkins,race1,county1,3,86878,group2,166-93-3322,True,1
341,Georgetta,Pollard,race1,county3,1,132453,group1,764-70-0752,False,3
342,Nancy,Hawkins,race3,county1,4,91049,group1,605-46-6960,False,0
343,Putnem,Cannon,race1,county2,1,249026,group1,226-60-7342,False,3
344,Uta,Brooks,race3,county1,2,237521,group2,880-68-5879,True,7
345,Fay,Quinn,race2,county4,1,162551,group3,635-73-3101,False,9
346,Gilli,Lawson,race2,county2,5,214619,group3,523-48-4063,?,4
347,Nehemiah,Frank,race2,county3,4,78891,group1,662-68-2253,True,0
348,Kelly,Ward,race3,county1,0,99138,group3,879-79-3682,False,6
349,Jordan,Lawson,race3,?,5,182330,group1,496-92-4373,True,6
350,Benedikt,Pollard,race1,county1,0,191250,group3,746-30-5021,True,10
351,Mickie,Elliott,race3,?,3,41326,group2,173-62-5006,False,6
352,Hermine,Hale,race2,county3,4,24733,group2,857-59-3937,True,0
353,Jerrine,Casey,race2,county4,2,121156,group3,657-90-9499,False,1
354,Erich,Kirk,race2,county4,1,263284,group3,143-73-4804,?,10
355,Ermin,Hawkins,?,county1,4,181998,group3,511-49-7711,False,9
356,Sashenka,Cannon,race3,county3,1,13362,group1,134-11-3595,True,3
357,Galvan,Scott,race2,county3,1,218890,group1,483-77-3118,True,3
359,Mignon,Cervantes,race3,county1,0,36964,group2,158-96-3928,True,5
360,Chen,Hoffman,race1,?,1,27229,group2,142-08-5289,True,3
361,Kory,Elliott,race1,county1,1,28837,group3,420-66-3587,False,5
362,Diannne,Cannon,race2,county3,4,141100,group2,318-97-2868,False,4
363,Mort,Owen,race1,county2,0,111136,group3,763-96-6856,True,0
364,Dionis,Wilkerson,?,county2,5,19261,group2,581-51-1056,False,2
365,Jenica,Kirk,race1,county4,1,118935,group2,236-52-2605,?,5
366,Tamarah,Pollard,race1,county3,4,253528,group1,576-33-7651,True,2
367,Ruthann,Cervantes,race3,county2,5,110944,group1,501-50-9148,True,8
368,Saudra,Scott,race2,county2,3,172168,group3,135-20-4063,True,5
369,Stanwood,Watson,?,county4,0,113976,group1,150-33-7883,True,5
370,Margaretta,Hoffman,?,county2,4,163909,group1,202-69-5171,True,9
372,Teddy,Brooks,?,county3,0,180815,group2,715-97-3061,True,7
373,Jaquelyn,Brooks,race2,county1,5,180345,group3,216-65-3529,?,1
376,Jens,Cervantes,?,county2,0,157500,group1,212-31-1805,False,6
377,Creight,Ward,race3,?,3,56948,group3,192-70-8131,False,7
378,Clerc,Hoffman,race1,county2,0,30694,group3,741-43-9632,True,9
380,Sylas,Cervantes,race2,?,0,179256,group3,100-63-2591,False,6
381,Dylan,Scott,race3,county2,0,71052,group2,247-44-6452,True,9
382,Othella,Watson,?,county2,0,14500,group2,884-45-3122,False,3
383,Reginald,Elliott,race1,county1,4,59387,group1,351-30-2998,False,9
384,Sandye,Cannon,race3,county2,4,164950,group3,880-82-7829,False,10
385,Mikel,Elliott,race2,county3,2,150535,group3,647-96-7056,False,5
386,Jesse,Cannon,race3,county3,4,199813,group2,777-59-5274,False,10
387,Axel,Ward,race2,county1,0,33941,group3,119-43-7917,True,6
388,Everett,Cervantes,race1,county2,0,137378,group1,136-87-4800,True,8
389,Sylvester,Owen,race2,county3,2,120110,group3,194-27-3454,True,5
390,Adrian,Owen,race1,county1,4,107745,group3,796-22-1376,False,10
391,Gillian,Hawkins,race3,?,4,195740,group1,801-20-3813,True,8
392,Lorie,Cervantes,race1,county1,2,268239,group2,473-63-5853,True,5
393,Else,Wilkerson,?,county1,0,86556,group1,432-26-3716,False,8
394,Jamima,Cannon,race2,county4,2,231474,group3,278-32-8352,False,4
395,Rose,Cervantes,race2,county1,2,294088,group3,686-85-9238,False,2
396,Oswell,Waters,race3,county1,0,161658,group2,880-37-3031,False,2
397,Sherwynd,Waters,race2,county4,2,276704,group3,184-19-9892,True,2
398,Clementina,Hoffman,?,county3,4,297342,group1,280-52-8061,True,6
399,Emlyn,Elliott,race2,?,4,154083,group2,417-88-9995,True,9
400,Bliss,Ward,race3,?,3,127835,group3,576-83-7504,False,2
401,Tammie,Cervantes,race3,county2,0,181021,group1,267-36-3528,True,0
402,Shamus,Hawkins,?,county4,5,23016,group3,334-74-5759,False,2
403,Annabel,Casey,race1,county4,3,250520,group3,763-07-7217,True,8
404,Elsworth,Cervantes,?,county4,1,161530,group2,754-01-2978,True,2
405,Gerladina,Wilkerson,?,?,2,274304,group2,216-37-5595,False,5
406,Vivien,Frank,race1,county2,2,240895,group1,378-49-7153,True,1
407,Algernon,Kirk,race1,?,5,233822,group2,489-41-5362,False,2
408,Mikaela,Quinn,?,county2,1,47781,group3,580-56-1309,True,7
409,Storm,Casey,race2,county3,3,34817,group3,136-74-4644,False,8
410,Cullin,Cannon,race3,county1,1,42327,group2,484-37-3692,False,3
411,Hobey,Owen,race2,county2,5,53818,group3,491-35-3718,True,4
412,Liv,Quinn,race1,county4,2,229787,group2,372-88-3127,False,2
413,Shaina,Le,race2,?,1,29341,group1,842-35-0050,False,6
414,Clementia,Cannon,race1,county2,1,124856,group3,655-93-4362,True,0
415,Darb,Brooks,race1,county3,2,252038,group1,830-10-7710,?,1
416,Veronique,Le,race3,county1,2,78381,group2,238-51-4705,True,5
417,Lowe,Frank,race2,county3,1,237610,group3,611-18-3613,True,6
418,Benoit,Scott,race1,county3,3,97224,group2,848-41-9312,False,4
419,Daphene,Elliott,race1,county4,0,200293,group1,416-47-3905,False,8
